ChEMBL_ID,canonical_smiles,standard_value,standard_units,assay_description,activity_flag
CHEMBL5286267,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(C#N)cc3)n2)c2ccccc21,37170.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL4483794,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCc2sccc2C1,20000.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,inactive
CHEMBL5191593,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccc(F)cc6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,370.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL3794581,CCOc1cc([C@H]2SCC(=O)N2NC(=O)c2nccnc2N)ccc1O,84.17,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay,active
CHEMBL5189095,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccc(N(C)C)cc6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,940.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL4462007,COc1cc2c(Oc3ccc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3Cl)ccnc2cc1OCCCN1CCCC1,880.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL4451737,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,510.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL175769,CC(=O)CCC(=O)OC[C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO,463.0,nM,Concentration required for 50% growth inhibition of human A549 cancer cell lines after 3 days of culture,active
CHEMBL3098844,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)NC1=O)CCC2,5390.0,nM,Cytotoxicity against human A549 cells by MTT assay,active
CHEMBL3261576,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(Cl)cc2)c1,160.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,active
CHEMBL3261564,COC(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1,290.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,active
CHEMBL4293343,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,3220.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4287996,COc1ccc2nc(/C=C3\SC(=S)N(CC(=O)O)C3=O)n(Cc3ccccc3F)c2c1,36180.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4160329,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3)ccnc2cc1OCCCN1CCOCC1,6000.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell proliferation measured after 72 hrs by MTT assay,active
CHEMBL3261566,CCN(CC)C(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL4582080,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(Cl)cc4)cc3)ccnc2cc1OCCCN1CCOCC1,6700.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell proliferation measured after 72 hrs by MTT assay,active
CHEMBL4472443,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCC(N2CCCCC2)CC1,380.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL4522971,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1C[C@H]2CCCC[C@H]2C1,1930.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL1213806,O=C1NC(=S)S/C1=C1\C(=O)Nc2ccccc21,99000.0,nM,Antiproliferative activity against apoptosis resistant human A549 cells after 72 hrs by MTT assay,inactive
CHEMBL3261563,COc1ccccc1N1C(=O)CSC1c1cccc(CBr)c1,14380.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL3261545,CNc1ccccc1N1C(=O)CSC1c1cccc(Br)c1,22560.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL3261553,COc1ccccc1N1C(=O)CSC1c1ccccc1,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL5190269,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccc(Cl)cc6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,420.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL3261551,COc1ccccc1N1C(=O)CSC1c1ccccc1Br,31540.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL3261540,O=C1CSC(c2cccc(Br)c2)N1c1cccc(O)c1,37090.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL5195606,COc1ccc(/C=C2\SC(=O)N(CC(=O)N3CCN(C(=O)[C@]4(C)CC[C@]5(C)CC[C@]6(C)C7=CC=C8C(=CC(=O)C(O)=C8C)[C@]7(C)CC[C@@]6(C)[C@@H]5C4)CC3)C2=O)cc1,320.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL4215478,COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)c5ccccc5)C4=O)ccc3[nH]2)cc1OC,740.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay,active
CHEMBL2236305,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3cccs3)C2=O)cc1,80000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL5277541,CCc1ccccc1-n1nc(-c2cn(C)c3ccc(Br)cc23)cc1/N=C1/NC(=O)CS1,50000.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL4294423,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2cccc(F)c2)SC1=S,23160.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4282439,O=C(O)CN1C(=O)/C(=C/c2nc3ccc(Cl)cc3n2Cc2ccccc2F)SC1=S,26860.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL5273181,O=C1CS/C(=N\c2cc(-c3c[nH]c4ccccc34)nn2-c2ccc(Cl)cc2)N1,16450.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL2236295,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccc(Br)cc3)C2=O)cc1,42000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL2236306,Cn1cccc1/C=C1\SC(=O)N(Cc2ccc(C(=O)O)cc2)C1=O,80000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL4291623,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)SC(=C(C)C)C2=O)nn1,9200.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL3794545,Cc1cnc(C(=O)NN2C(=O)CS[C@@H]2c2ccc([N+](=O)[O-])cc2)cn1,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay,active
CHEMBL3261558,COc1ccccc1N1C(=O)CSC1c1cccc(Cl)c1,8180.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,active
CHEMBL4280306,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/CCCCC)C2=O)nn1,4800.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL4294458,COc1ccc2c(c1)nc(/C=C1\SC(=S)N(CC(=O)O)C1=O)n2Cc1ccc(C)cc1,5680.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4282734,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Cl)cc2)SC1=S,17510.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4286115,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,2670.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4285092,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(F)cc2)SC1=S,3570.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4291331,COc1ccc(C(=O)Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,5150.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4289545,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc([N+](=O)[O-])cc2)SC1=S,11420.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4278196,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(C(F)(F)F)cc2)SC1=S,25280.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4288578,Cc1ccc(C(=O)Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,9460.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL5189270,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccccc6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,400.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL5198740,O=C1N/C(=N\Cc2ccc3c(c2)OCO3)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21,50000.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL5419470,COc1ccc(N2C(=O)/C(=C\c3ccc([N+](=O)[O-])s3)SC2=S)cc1,12970.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability incubated for 24 hrs by resazurin assay,inactive
CHEMBL4294863,COc1c(/C=C2\SC(=S)NC2=O)c(NS(=O)(=O)c2cccs2)cc2c1OCO2,14700.0,nM,Growth inhibition of human A549 cells expressing mutant KRAS incubated for 72 hrs by MTS assay,inactive
CHEMBL4283758,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/C)C2=O)nn1,3500.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL175719,CC(O)CCC(=O)OC[C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO,414.0,nM,Concentration required for 50% growth inhibition of human A549 cancer cell lines after 3 days of culture,active
CHEMBL3261539,O=C1CSC(c2cccc(Br)c2)N1c1ccccc1O,13690.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL5273156,CCn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(Cl)cc3)n2)c2ccccc21,38730.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL4214639,N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,2180.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL2236294,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccccc3)C2=O)cc1,90000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL2236300,COc1cc(/C=C2\SC(=O)N(Cc3ccc(C(=O)O)cc3)C2=O)cc(OC)c1OC,36000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL2236297,Cc1ccc(/C=C2\SC(=O)N(Cc3ccc(C(=O)O)cc3)C2=O)cc1,78000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL3098837,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2,3490.0,nM,Cytotoxicity against human A549 cells by MTT assay,active
CHEMBL2236299,COc1ccc(/C=C2\SC(=O)N(Cc3ccc(C(=O)O)cc3)C2=O)cc1,44000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL2260535,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccccc2[N+](=O)[O-])s1,72000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL2260540,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccc(Br)cc2)s1,68000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL4202440,Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,50000.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4210895,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc([N+](=O)[O-])cc2)SC1=S,3940.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL5287643,N#Cc1ccc(-n2nc(-c3c[nH]c4ccccc34)cc2/N=C2/NC(=O)CS2)cc1,34010.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL5286109,CCn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(Cl)cc3)n2)c2cc(OC)ccc21,48100.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL5276285,N#Cc1ccc(-n2nc(-c3cn(Cc4ccccc4)c4ccccc34)cc2/N=C2/NC(=O)CS2)cc1,22280.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL3261568,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)N2CCCCC2)c1,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL3261554,COc1ccccc1N1C(=O)CSC1c1ccncc1,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL2316324,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)NC1=O,47500.0,nM,Anticancer activity against human A549 cells assessed as cell viability after 72 hrs by MTT reduction assay,inactive
CHEMBL3261567,C=CCN(CC=C)C(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL2260546,COc1ccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)cc1OC,35000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL5170428,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)CSC5=O)CC4)CC[C@]3(C)CC[C@]12C,1550.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL3261537,O=C1CSC(c2cccc(Br)c2)N1c1cc(Cl)ccc1O,9950.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,active
CHEMBL4295191,COc1cc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc(OC)c1,5170.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL5286192,CCc1ccccc1-n1nc(-c2cn(CC)c3ccc(OC)cc23)cc1/N=C1/NC(=O)CS1,24240.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL4204692,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(Cc5ccccc5)C4=O)ccc3[nH]2)cc(OC)c1OC,670.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay,active
CHEMBL4208063,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc(OC)c1OC,2930.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay,active
CHEMBL5287241,CCn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(Cl)cc3)n2)c2cc(Br)ccc21,33670.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL4446992,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,650.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell proliferation measured after 72 hrs by MTT assay,active
CHEMBL3261544,O=C1CSC(c2cccc(Br)c2)N1c1cccc([N+](=O)[O-])c1,43710.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL3261565,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)O)c1,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL3261546,CN(C)c1ccccc1N1C(=O)CSC1c1cccc(Br)c1,37590.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL4218601,COc1cc(CN2C(=O)S/C(=C\c3ccc4[nH]c(-c5cc(OC)c(OC)c(OC)c5)nc4c3)C2=O)cc(OC)c1OC,530.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay,active
CHEMBL4460407,CCN1CCN(CCCCOc2cc3nccc(Oc4c(F)cc(NC(=O)NN5C(=O)CSC5c5c(F)cccc5F)cc4F)c3cc2OC)CC1,1390.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL5173685,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\C(C)C)C5=O)CC4)CC[C@]3(C)CC[C@]12C,90.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL5205167,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6cccs6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,360.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL5206937,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\C6CCCC6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,170.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL5181601,CCCC/C=C1\SC(=O)N(CC(=O)N2CCN(C(=O)[C@]3(C)CC[C@]4(C)CC[C@]5(C)C6=CC=C7C(=CC(=O)C(O)=C7C)[C@]6(C)CC[C@@]5(C)[C@@H]4C3)CC2)C1=O,320.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL4470627,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)C(C)SC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1,830.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL4552334,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,970.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL5208702,O=C1N/C(=N\Cc2ccccc2Cl)S/C1=C1/CCNC(=O)c2[nH]ccc21,100000.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL5195668,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,18340.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL4218732,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(Cc5cccc(C)c5)C4=O)ccc3[nH]2)cc1OC,130.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay,active
CHEMBL4280189,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2CC(=O)c2ccc(Cl)cc2)SC1=S,9850.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4295041,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/CC)C2=O)nn1,7800.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL4437195,COc1cc2c(Oc3c(F)cc(NC(=S)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1,690.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay,active
CHEMBL5178704,Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,9080.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,active
CHEMBL5177994,O=C1N/C(=N\Cc2ccc(F)cc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21,36500.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL5290278,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3cccc(Cl)c3)n2)c2cc(Br)ccc21,32790.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL5276640,CCc1ccccc1-n1nc(-c2cn(C)c3ccccc23)cc1/N=C1/NC(=O)CS1,39130.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL1910508,O=C1NC(=O)/C(=C/c2c(-c3ccccc3)[nH]c3ccc(Cl)cc23)S1,4500.0,nM,Cytotoxicity against human A549 cells by MTT assay,active
CHEMBL2260545,COc1ccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)cc1,45000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL3794028,COc1cc([C@@H]2SCC(=O)N2NC(=O)c2cnc(C)cn2)ccc1O,62.26,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay,active
CHEMBL3098834,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2,100000.0,nM,Cytotoxicity against human A549 cells by MTT assay,inactive
CHEMBL434923,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O[Si](C)(C)C)O[C@@H]3C[C@@]4(CO[Si](C)(C)C)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO[Si](C)(C)C)C[C@H]3O[C@@H]2O1,657.0,nM,Concentration required for 50% growth inhibition of human A549 cancer cell lines after 3 days of culture,active
CHEMBL2260536,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2cccc([N+](=O)[O-])c2)s1,78000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
CHEMBL4211169,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)c(F)c2)SC1=S,12360.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL2316333,CN1C(=O)S/C(=C\C2=Cc3ccccc3OC2)C1=O,100000.0,nM,Anticancer activity against human A549 cells assessed as cell viability after 72 hrs by MTT reduction assay,inactive
CHEMBL5204335,O=C1N/C(=N\Cc2ccc3c(c2)OCO3)S/C1=C1/CCNC(=O)c2[nH]ccc21,19860.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL5195197,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,43870.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL3261570,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCc2ccccc2)c1,5060.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,active
CHEMBL3261574,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2Br)c1,8520.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,active
CHEMBL3261538,COc1ccc(N2C(=O)CSC2c2cccc(Br)c2)c(OC)c1,14760.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay,inactive
CHEMBL2260548,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccccc2)s1,80000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay,inactive
